id,category,original_request,MRR,Hit@1,Recall@1,Precision@1,Hit@2,Recall@2,Precision@2,Hit@3,Recall@3,Precision@3,Hit@4,Recall@4,Precision@4,Hit@5,Recall@5,Precision@5,Hit@6,Recall@6,Precision@6,Hit@7,Recall@7,Precision@7,Hit@8,Recall@8,Precision@8,Hit@9,Recall@9,Precision@9,Hit@10,Recall@10,Precision@10,planning_time_seconds,rewrite_time_seconds,retrieval_time_seconds,generation_time_seconds,web_search_time_seconds,reflection_time_seconds,other_tools_time_seconds,end_to_end_time_seconds,prompt_tokens,completion_tokens,total_tokens
001,fact-based,根据《国家赔偿费用管理条例》的规定，国家赔偿费用由哪个部门统一管理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,1.5205,3.7179,0.0,0.0,3.9616,9.2,1476.0,124.0,1600.0
002,fact-based,根据《中华人民共和国母婴保健法》，各级人民政府在母婴保健工作方面应当采取哪些措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,2.3043,10.1171,0.0,0.0,3.1686,15.59,1456.0,361.0,1817.0
003,fact-based,人民法院在收到社区矫正机构撤销缓刑、假释的建议书后，应当在多长时间内作出裁定？,0.5,0,0.0,0.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,2.2623,8.9554,0.0,0.0,3.2023,14.42,1662.0,298.0,1960.0
004,fact-based,人民法院决定悬赏查找财产时，悬赏公告应当载明哪些内容？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.8024,7.3802,0.0,0.0,3.4674,11.65,1607.0,245.0,1852.0
005,fact-based,《中华人民共和国搜寻援救民用航空器规定》是从何时开始施行的？,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.636,7.0447,0.0,0.0,3.0593,10.74,1428.0,234.0,1662.0
006,fact-based,根据《中华人民共和国民法典》，共同共有人对共有的不动产或者动产享有什么权利？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.4593,5.29,0.0,0.0,4.4307,10.18,1409.0,176.0,1585.0
007,fact-based,根据《中华人民共和国民营经济促进法》，检察机关在发现涉及民营经济组织及其经营者的诉讼活动中存在违法情形时，应当依法采取哪些监督措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.5176,9.8658,0.0,0.0,2.9766,13.36,1480.0,328.0,1808.0
008,fact-based,根据《中华人民共和国刑事诉讼法》的规定，公安机关对于已经立案的刑事案件，应当进行哪些工作？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.563,8.8041,0.0,0.0,3.0929,12.46,1528.0,292.0,1820.0
009,fact-based,根据《重要军工设施保护条例》的规定，在重要军工设施保护区内，是否允许开发利用该保护区的地下空间？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.5026,4.6395,0.0,0.0,3.0279,8.17,1627.0,159.0,1786.0
010,fact-based,根据《中华人民共和国海商法》关于船舶租用合同的规定，如果一份光船租赁合同中订有租购条款，当承租人按照合同约定向出租人付清租购费时，船舶所有权归属于谁？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.541,6.496,0.0,0.0,6.653,13.69,1496.0,176.0,1672.0
