id,category,original_request,MRR,Hit@1,Recall@1,Precision@1,Hit@2,Recall@2,Precision@2,Hit@3,Recall@3,Precision@3,Hit@4,Recall@4,Precision@4,Hit@5,Recall@5,Precision@5,Hit@6,Recall@6,Precision@6,Hit@7,Recall@7,Precision@7,Hit@8,Recall@8,Precision@8,Hit@9,Recall@9,Precision@9,Hit@10,Recall@10,Precision@10,planning_time_seconds,rewrite_time_seconds,retrieval_time_seconds,generation_time_seconds,web_search_time_seconds,reflection_time_seconds,other_tools_time_seconds,end_to_end_time_seconds,prompt_tokens,completion_tokens,total_tokens
001,fact-based,根据《国家赔偿费用管理条例》的规定，国家赔偿费用由哪个部门统一管理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.4231,0.0,2.3358,5.0656,0.0,8.7309,1.6246,20.18,1969.0,350.0,2319.0
002,fact-based,根据《中华人民共和国母婴保健法》，各级人民政府在母婴保健工作方面应当采取哪些措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1761,0.0,2.395,13.009,0.0,6.7568,1.7631,26.1,1915.0,515.0,2430.0
003,fact-based,人民法院在收到社区矫正机构撤销缓刑、假释的建议书后，应当在多长时间内作出裁定？,0.5,0,0.0,0.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.3222,0.0,2.3644,6.8424,0.0,7.6352,1.6558,20.82,2319.0,365.0,2684.0
004,fact-based,人民法院决定悬赏查找财产时，悬赏公告应当载明哪些内容？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0647,0.0,0.6715,7.4668,0.0,6.5501,1.0669,17.82,2227.0,335.0,2562.0
005,fact-based,《中华人民共和国搜寻援救民用航空器规定》是从何时开始施行的？,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4.3389,0.0,1.0351,6.1752,0.349,12.0052,0.9866,24.89,3573.0,483.0,4056.0
006,fact-based,根据《中华人民共和国民法典》，共同共有人对共有的不动产或者动产享有什么权利？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.8535,0.0,0.4644,7.1544,0.0,5.1665,1.5312,16.17,1831.0,316.0,2147.0
007,fact-based,根据《中华人民共和国民营经济促进法》，检察机关在发现涉及民营经济组织及其经营者的诉讼活动中存在违法情形时，应当依法采取哪些监督措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.034,0.0,0.592,13.9317,0.0,7.226,0.9863,24.77,1935.0,542.0,2477.0
008,fact-based,根据《中华人民共和国刑事诉讼法》的规定，公安机关对于已经立案的刑事案件，应当进行哪些工作？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.942,0.0,0.6489,13.4013,0.0,6.4403,0.9175,23.35,2059.0,492.0,2551.0
009,fact-based,根据《重要军工设施保护条例》的规定，在重要军工设施保护区内，是否允许开发利用该保护区的地下空间？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.7778,0.0,0.6612,6.6188,0.0,8.0029,1.3293,18.39,2253.0,358.0,2611.0
010,fact-based,根据《中华人民共和国海商法》关于船舶租用合同的规定，如果一份光船租赁合同中订有租购条款，当承租人按照合同约定向出租人付清租购费时，船舶所有权归属于谁？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0129,0.0,0.5408,5.8044,0.0,7.4848,1.4671,17.31,1935.0,345.0,2280.0
