id,category,original_request,MRR,Hit@1,Recall@1,Precision@1,Hit@2,Recall@2,Precision@2,Hit@3,Recall@3,Precision@3,Hit@4,Recall@4,Precision@4,Hit@5,Recall@5,Precision@5,Hit@6,Recall@6,Precision@6,Hit@7,Recall@7,Precision@7,Hit@8,Recall@8,Precision@8,Hit@9,Recall@9,Precision@9,Hit@10,Recall@10,Precision@10,planning_time_seconds,rewrite_time_seconds,retrieval_time_seconds,generation_time_seconds,web_search_time_seconds,reflection_time_seconds,other_tools_time_seconds,end_to_end_time_seconds,prompt_tokens,completion_tokens,total_tokens
001,fact-based,根据《国家赔偿费用管理条例》的规定，国家赔偿费用由哪个部门统一管理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.6364,0.0,1.9959,4.4315,0.0,6.9704,18.4158,33.45,3096.0,315.0,3411.0
002,fact-based,根据《中华人民共和国母婴保健法》，各级人民政府在母婴保健工作方面应当采取哪些措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.898,0.0,1.6788,13.8807,0.0,8.0199,18.4526,43.93,3194.0,625.0,3819.0
003,fact-based,人民法院在收到社区矫正机构撤销缓刑、假释的建议书后，应当在多长时间内作出裁定？,0.5,0,0.0,0.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9338,1.4791,0.5511,9.1503,0.0,5.5002,18.6355,37.25,4241.0,435.0,4676.0
004,fact-based,人民法院决定悬赏查找财产时，悬赏公告应当载明哪些内容？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9792,1.4546,1.0651,9.1137,0.0,6.7635,1.1639,21.54,3580.0,441.0,4021.0
005,fact-based,《中华人民共和国搜寻援救民用航空器规定》是从何时开始施行的？,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6.9704,3.1636,1.6918,10.2458,0.0,16.4568,0.8116,39.34,7685.0,811.0,8496.0
006,fact-based,根据《中华人民共和国民法典》，共同共有人对共有的不动产或者动产享有什么权利？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.7491,0.0,0.6133,6.043,0.0,5.1939,1.1807,14.78,3012.0,309.0,3321.0
007,fact-based,根据《中华人民共和国民营经济促进法》，检察机关在发现涉及民营经济组织及其经营者的诉讼活动中存在违法情形时，应当依法采取哪些监督措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.7695,1.2283,0.7029,10.6955,0.0,6.1648,0.979,21.54,3374.0,520.0,3894.0
008,fact-based,根据《中华人民共和国刑事诉讼法》的规定，公安机关对于已经立案的刑事案件，应当进行哪些工作？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.733,0.0,0.4274,12.6383,0.0,5.2654,0.8859,20.95,3554.0,523.0,4077.0
009,fact-based,根据《重要军工设施保护条例》的规定，在重要军工设施保护区内，是否允许开发利用该保护区的地下空间？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9684,1.4677,0.6356,7.1979,0.0,8.164,0.8064,20.24,4006.0,432.0,4438.0
010,fact-based,根据《中华人民共和国海商法》关于船舶租用合同的规定，如果一份光船租赁合同中订有租购条款，当承租人按照合同约定向出租人付清租购费时，船舶所有权归属于谁？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.6262,0.0,0.5545,5.1937,0.0,6.7334,0.9322,15.04,3082.0,315.0,3397.0
011,fact-based,某养殖场销售的种畜禽没有附具种畜禽合格证明和家畜系谱，这种情况应该由哪个部门处理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.099,2.0362,0.7533,7.9212,0.0,7.9261,0.9542,21.69,4113.0,475.0,4588.0
012,fact-based,请问，用于农产品初加工的机械设备，是否属于《农业机械安全监督管理条例》中所称的“农业机械”？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.8598,1.3814,0.7515,4.407,0.0,5.7171,0.7932,14.91,3598.0,303.0,3901.0
013,fact-based,《国务院关于鼓励华侨和香港澳门同胞投资的规定》的制定目的是什么？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.7544,0.0,0.5026,2.9291,0.0,5.252,1.2719,11.71,3106.0,217.0,3323.0
014,fact-based,未成年人的父母均不具备完全民事行为能力，并且可能严重危害该未成年人。这种情况下，谁可以决定将该未成年人送养？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0584,1.3268,0.732,14.0172,0.0,7.9382,1.3574,27.43,3731.0,648.0,4379.0
015,fact-based,根据《互联网上网服务营业场所管理条例(2024修订)》的规定，如果一家网吧违反了国家有关信息网络安全、治安管理、消防管理、工商行政管理、电信管理等规定，但情节尚不够刑事处罚的，应当由哪些部门依法给予处罚？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.6863,1.5125,0.8478,7.7951,0.0,7.6215,1.2068,21.67,4496.0,457.0,4953.0
016,fact-based,一家外国国际船舶运输经营者，利用租用的中国籍船舶经营中国港口之间的运输业务，被交通运输主管部门查处。经查，其违法所得为60万元。请问，根据《中华人民共和国国际海运条例(2025修订)》，主管部门应当如何处罚？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.105,1.4328,0.6501,8.7666,0.0,6.7767,1.0888,20.82,4390.0,484.0,4874.0
017,fact-based,期货公司依据约定对客户持仓进行强行平仓，由此产生的费用应当由谁承担？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0633,1.5051,0.61,13.003,0.0,7.1958,0.7928,25.17,3891.0,610.0,4501.0
018,fact-based,根据《彩票管理条例》的规定，哪些部门应当建立彩票发行、销售和资金管理信息系统？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0452,1.7171,0.3626,4.822,0.0,6.5449,0.9482,16.44,3449.0,340.0,3789.0
019,fact-based,根据《中华人民共和国出口管制法》，我国国家出口管制管理部门可以基于哪些原则或依据，与其他国家、地区或国际组织开展出口管制合作与交流？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.866,1.4809,0.6339,9.8703,0.0,6.8555,1.0834,21.79,3937.0,495.0,4432.0
020,fact-based,根据《中华人民共和国企业所得税法实施条例(2024修订)》，企业接受的来自个人的无偿给予的非货币性资产，在税法上属于什么性质的收入？该收入应在何时确认实现？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.8993,1.9525,0.6131,8.0531,0.0,7.4296,0.8524,20.8,3766.0,443.0,4209.0
021,fact-based,某单位需要使用放射性同位素，计划将其转移到外省使用。请问该单位应当向哪个部门办理备案手续？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9796,1.5686,0.9797,8.0725,0.0,8.1935,1.1661,21.96,3908.0,483.0,4391.0
022,fact-based,根据《中华人民共和国中国人民银行法》的规定，中国人民银行的全部资本由谁出资，属于谁所有？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.5602,0.0,0.6877,4.3669,0.0,5.3003,0.6649,12.58,2720.0,251.0,2971.0
