id,category,original_request,MRR,Hit@1,Recall@1,Precision@1,Hit@2,Recall@2,Precision@2,Hit@3,Recall@3,Precision@3,Hit@4,Recall@4,Precision@4,Hit@5,Recall@5,Precision@5,Hit@6,Recall@6,Precision@6,Hit@7,Recall@7,Precision@7,Hit@8,Recall@8,Precision@8,Hit@9,Recall@9,Precision@9,Hit@10,Recall@10,Precision@10,planning_time_seconds,rewrite_time_seconds,retrieval_time_seconds,generation_time_seconds,web_search_time_seconds,reflection_time_seconds,other_tools_time_seconds,end_to_end_time_seconds,prompt_tokens,completion_tokens,total_tokens
001,fact-based,根据《国家赔偿费用管理条例》的规定，国家赔偿费用由哪个部门统一管理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0577,0.0,2.5297,5.6395,0.0,9.3498,2.3433,21.92,2066.0,338.0,2404.0
002,fact-based,根据《中华人民共和国母婴保健法》，各级人民政府在母婴保健工作方面应当采取哪些措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.2557,0.0,2.3878,15.2222,0.0,10.3311,2.2332,32.43,2012.0,610.0,2622.0
003,fact-based,人民法院在收到社区矫正机构撤销缓刑、假释的建议书后，应当在多长时间内作出裁定？,0.5,0,0.0,0.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.3321,0.0,2.1743,8.4285,0.0,10.3077,2.3674,25.61,2416.0,427.0,2843.0
004,fact-based,人民法院决定悬赏查找财产时，悬赏公告应当载明哪些内容？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.7053,0.0,0.7836,7.4816,0.0,7.3907,1.4388,19.8,2324.0,336.0,2660.0
005,fact-based,《中华人民共和国搜寻援救民用航空器规定》是从何时开始施行的？,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5.3812,3.1509,1.2653,5.9322,0.4057,14.1366,1.7881,32.06,4687.0,546.0,5233.0
006,fact-based,根据《中华人民共和国民法典》，共同共有人对共有的不动产或者动产享有什么权利？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.2156,0.0,0.5303,8.764,0.0,6.5532,1.2469,19.31,1928.0,357.0,2285.0
007,fact-based,根据《中华人民共和国民营经济促进法》，检察机关在发现涉及民营经济组织及其经营者的诉讼活动中存在违法情形时，应当依法采取哪些监督措施？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.6325,0.0,0.4834,13.1024,0.0,8.2442,1.5975,26.06,2032.0,562.0,2594.0
008,fact-based,根据《中华人民共和国刑事诉讼法》的规定，公安机关对于已经立案的刑事案件，应当进行哪些工作？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.51,0.0,0.7056,11.1444,0.0,6.4916,1.1584,22.01,2156.0,441.0,2597.0
009,fact-based,根据《重要军工设施保护条例》的规定，在重要军工设施保护区内，是否允许开发利用该保护区的地下空间？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1984,0.0,0.693,7.0605,0.0,7.2199,1.2082,18.38,2350.0,363.0,2713.0
010,fact-based,根据《中华人民共和国海商法》关于船舶租用合同的规定，如果一份光船租赁合同中订有租购条款，当承租人按照合同约定向出租人付清租购费时，船舶所有权归属于谁？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.2692,0.0,0.5575,4.3006,0.0,7.3416,1.0611,15.53,2032.0,286.0,2318.0
011,fact-based,某养殖场销售的种畜禽没有附具种畜禽合格证明和家畜系谱，这种情况应该由哪个部门处理？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.562,0.0,0.6407,5.6244,0.0,8.6766,1.7463,19.25,2494.0,375.0,2869.0
012,fact-based,请问，用于农产品初加工的机械设备，是否属于《农业机械安全监督管理条例》中所称的“农业机械”？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9428,0.0,0.3367,4.1125,0.0,7.7145,1.6435,15.75,2126.0,293.0,2419.0
013,fact-based,《国务院关于鼓励华侨和香港澳门同胞投资的规定》的制定目的是什么？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1766,0.0,0.696,3.3727,0.0,8.172,1.0727,15.49,2024.0,271.0,2295.0
014,fact-based,未成年人的父母均不具备完全民事行为能力，并且可能严重危害该未成年人。这种情况下，谁可以决定将该未成年人送养？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9435,0.0,0.5366,8.3017,0.0,6.7559,1.5723,19.11,2172.0,353.0,2525.0
015,fact-based,根据《互联网上网服务营业场所管理条例(2024修订)》的规定，如果一家网吧违反了国家有关信息网络安全、治安管理、消防管理、工商行政管理、电信管理等规定，但情节尚不够刑事处罚的，应当由哪些部门依法给予处罚？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.6103,0.0,0.4452,7.9851,0.0,7.9898,1.0696,20.1,2862.0,376.0,3238.0
016,fact-based,一家外国国际船舶运输经营者，利用租用的中国籍船舶经营中国港口之间的运输业务，被交通运输主管部门查处。经查，其违法所得为60万元。请问，根据《中华人民共和国国际海运条例(2025修订)》，主管部门应当如何处罚？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.6429,0.0,0.8108,12.3611,0.0,9.4619,1.5533,26.83,2496.0,550.0,3046.0
017,fact-based,期货公司依据约定对客户持仓进行强行平仓，由此产生的费用应当由谁承担？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.4304,0.0,0.5538,12.8907,0.0,7.0241,1.391,24.29,2156.0,514.0,2670.0
018,fact-based,根据《彩票管理条例》的规定，哪些部门应当建立彩票发行、销售和资金管理信息系统？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1757,0.0,0.2484,4.9275,0.0,8.1454,1.623,17.12,1984.0,327.0,2311.0
019,fact-based,根据《中华人民共和国出口管制法》，我国国家出口管制管理部门可以基于哪些原则或依据，与其他国家、地区或国际组织开展出口管制合作与交流？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.8323,0.0,0.579,8.7417,0.0,7.8848,1.5122,20.55,2386.0,361.0,2747.0
020,fact-based,根据《中华人民共和国企业所得税法实施条例(2024修订)》，企业接受的来自个人的无偿给予的非货币性资产，在税法上属于什么性质的收入？该收入应在何时确认实现？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,7.3777,0.0,0.6217,8.6561,0.0,8.6056,1.5389,26.8,2280.0,404.0,2684.0
021,fact-based,某单位需要使用放射性同位素，计划将其转移到外省使用。请问该单位应当向哪个部门办理备案手续？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.9708,0.0,0.6011,8.3357,0.0,7.146,5.4964,24.55,2198.0,410.0,2608.0
022,fact-based,根据《中华人民共和国中国人民银行法》的规定，中国人民银行的全部资本由谁出资，属于谁所有？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9141,0.0,0.5612,5.1801,0.0,5.4224,1.3922,14.47,1910.0,258.0,2168.0
023,fact-based,根据《中华人民共和国农村集体经济组织法》，农村集体经济组织的成员大会、成员代表大会、理事会、监事会或者监事召开会议时，是否应当制作和保存会议记录？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0573,0.0,0.6346,9.1033,0.0,6.587,1.1378,19.52,2186.0,394.0,2580.0
024,fact-based,根据《中华人民共和国公司法(2023修订)》第五十二条的规定，如果公司向未按时出资的股东发出书面催缴书，催缴书中载明的缴纳出资宽限期，自公司发出催缴书之日起，最短不得少于多少日？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1088,0.0,0.6408,5.5299,0.0,7.7507,1.2598,17.29,2386.0,338.0,2724.0
025,fact-based,某县计划在其管辖的内河区域设置一个新的渡口。请问，该设置行为需要经过哪个层级的政府审批？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1135,0.0,0.4319,5.3128,0.0,8.3239,1.4579,17.64,2044.0,346.0,2390.0
026,fact-based,根据《中华人民共和国民族区域自治法》，民族自治地方的自治机关在录用工作人员时，对哪些人员应当给予适当的照顾？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,1.9936,0.0,0.6717,9.7831,0.0,7.3805,1.0611,20.89,2284.0,442.0,2726.0
027,fact-based,根据《广播电视设施保护条例》的规定，哪些行为是被禁止的？,0.3333,0,0.0,0.0,0,0.0,0.0,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.1597,0.0,0.2612,15.5221,0.0,6.5266,1.6504,26.12,1814.0,555.0,2369.0
028,fact-based,根据《最高人民法院关于北京、上海、广州知识产权法院案件管辖的规定(2020修正)》第二条的规定，广州知识产权法院对广东省内哪些案件实行跨区域管辖？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.2312,0.0,0.4172,7.6153,0.0,7.7629,1.5534,19.58,2246.0,396.0,2642.0
029,fact-based,请问，职工因工致残被鉴定为五级伤残，如果本人提出解除劳动关系，应由谁支付一次性工伤医疗补助金？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.3268,0.0,1.1261,7.0411,0.0,6.3069,1.5891,18.39,2372.0,327.0,2699.0
030,fact-based,根据《中华人民共和国企业所得税法实施条例(2024修订)》的规定，企业从事餐饮住宿服务活动取得的收入属于什么类型的收入？,1.0,1,1.0,1.0,1,1.0,0.5,1,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,2.0078,0.0,1.1427,5.3717,0.0,7.1116,1.4662,17.1,2222.0,305.0,2527.0
