id,category,original_request,MRR,Hit@1,Recall@1,Precision@1,Hit@2,Recall@2,Hit@3,Precision@2,Recall@3,Precision@3,Hit@4,Recall@4,Precision@4,Hit@5,Recall@5,Precision@5,Hit@6,Recall@6,Precision@6,Hit@7,Recall@7,Precision@7,Hit@8,Recall@8,Precision@8,Hit@9,Recall@9,Precision@9,Hit@10,Recall@10,Precision@10,planning_time_seconds,rewrite_time_seconds,retrieval_time_seconds,generation_time_seconds,web_search_time_seconds,reflection_time_seconds,other_tools_time_seconds,end_to_end_time_seconds,prompt_tokens,completion_tokens,total_tokens
001,fact-based,根据《国家赔偿费用管理条例》的规定，国家赔偿费用由哪个部门统一管理？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,2.4762,8.5361,0.0,0.0,0.0,11.01,863.0,134.0,997.0
002,fact-based,根据《中华人民共和国母婴保健法》，各级人民政府在母婴保健工作方面应当采取哪些措施？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,2.4624,10.1506,0.0,0.0,0.0,12.61,835.0,202.0,1037.0
003,fact-based,人民法院在收到社区矫正机构撤销缓刑、假释的建议书后，应当在多长时间内作出裁定？,0.5,0,0.0,0.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,2.4543,9.1845,0.0,0.0,0.0012,11.64,1034.0,166.0,1200.0
004,fact-based,人民法院决定悬赏查找财产时，悬赏公告应当载明哪些内容？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.7014,6.0523,0.0,0.0,0.0,6.75,993.0,111.0,1104.0
005,fact-based,《中华人民共和国搜寻援救民用航空器规定》是从何时开始施行的？,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4106,7.9795,0.0,0.0,0.0,8.39,817.0,139.0,956.0
006,fact-based,根据《中华人民共和国民法典》，共同共有人对共有的不动产或者动产享有什么权利？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.2676,9.602,0.0,0.0,0.0004,9.87,793.0,179.0,972.0
007,fact-based,根据《中华人民共和国民营经济促进法》，检察机关在发现涉及民营经济组织及其经营者的诉讼活动中存在违法情形时，应当依法采取哪些监督措施？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.5715,7.7688,0.0,0.0,0.0,8.34,831.0,143.0,974.0
008,fact-based,根据《中华人民共和国刑事诉讼法》的规定，公安机关对于已经立案的刑事案件，应当进行哪些工作？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.358,6.8103,0.0,0.0,0.0017,7.17,906.0,128.0,1034.0
009,fact-based,根据《重要军工设施保护条例》的规定，在重要军工设施保护区内，是否允许开发利用该保护区的地下空间？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.6795,6.8827,0.0,0.0,0.0,7.56,998.0,125.0,1123.0
010,fact-based,根据《中华人民共和国海商法》关于船舶租用合同的规定，如果一份光船租赁合同中订有租购条款，当承租人按照合同约定向出租人付清租购费时，船舶所有权归属于谁？,1.0,1,1.0,1.0,1,1.0,1,0.5,1.0,0.3333,1,1.0,0.25,1,1.0,0.2,1,1.0,0.1667,1,1.0,0.1429,1,1.0,0.125,1,1.0,0.1111,1,1.0,0.1,0.0,0.0,0.5747,6.7322,0.0,0.0,0.0031,7.31,818.0,117.0,935.0
